town_name,county_name
Kimunyu,Murang'a County
Kinangop,Murang'a County
Kinyona,Murang'a County
Kiranga,Murang'a County
Kirimari,Murang'a County
Kiriani,Murang'a County
Kiriko,Murang'a County
Kiritiri,Murang'a County
Kiserian,Murang'a County
Kitale,Murang'a County
Kithegi,Murang'a County
Kitito,Murang'a County
Kiunyu,Murang'a County
Kiutine,Murang'a County
Kiwegu,Murang'a County
Kithunthiri,Murang'a County
Kithiru,Murang'a County
Kyeni,Murang'a County
Kyome,Murang'a County
Kyumbuni,Murang'a County
Nairobi CBD,Nairobi County
Westlands,Nairobi County
Kilimani,Nairobi County
Kileleshwa,Nairobi County
Karen,Nairobi County
Runda,Nairobi County
Lavington,Nairobi County
Eastleigh,Nairobi County
Parklands,Nairobi County
Langata,Nairobi County
Gigiri,Nairobi County
Muthaiga,Nairobi County
South B,Nairobi County
South C,Nairobi County
Embakasi,Nairobi County
Ruai,Nairobi County
Umoja,Nairobi County
Donholm,Nairobi County
Buruburu,Nairobi County
Kasarani,Nairobi County
Githurai,Nairobi County
Zimmerman,Nairobi County
Roysambu,Nairobi County
Kahawa West,Nairobi County
Kahawa Sukari,Nairobi County
Kibera,Nairobi County
Dagoretti,Nairobi County
Kawangware,Nairobi County
Ngong Road,Nairobi County
Ngara,Nairobi County
Pangani,Nairobi County
Hurlingham,Nairobi County
Upper Hill,Nairobi County
Industrial Area,Nairobi County
Komarock,Nairobi County
Kayole,Nairobi County
Dandora,Nairobi County
Pipeline,Nairobi County
Makadara,Nairobi County
Kaloleni,Nairobi County
Shauri Moyo,Nairobi County
Mathare,Nairobi County
Mlango Kubwa,Nairobi County
Baba Dogo,Nairobi County
Lucky Summer,Nairobi County
Njiru,Nairobi County
Mwihoko,Nairobi County
Kamulu,Nairobi County
Soweto,Nairobi County
Imara Daima,Nairobi County
Syokimau,Nairobi County
Savannah,Nairobi County
Njiru,Nairobi County
Mountain View,Nairobi County
Thome,Nairobi County
Ridgeways,Nairobi County
Kiamumbi,Nairobi County
Mutindwa,Nairobi County
Utawala,Nairobi County
Garden Estate,Nairobi County
Mirema,Nairobi County
Nairobi Central,Nairobi County
Westlands,Nairobi County
Kilimani,Nairobi County
Kangemi,Nairobi County
Kibera,Nairobi County
Dagoretti,Nairobi County
Lavington,Nairobi County
Gigiri,Nairobi County
Karen,Nairobi County
Langata,Nairobi County
Runda,Nairobi County
Eastleigh,Nairobi County
Embakasi,Nairobi County
Madaraka,Nairobi County
Buruburu,Nairobi County
Donholm,Nairobi County
Kasarani,Nairobi County
Roysambu,Nairobi County
Githurai,Nairobi County
Utawala,Nairobi County
Ruai,Nairobi County
Njiru,Nairobi County
Kahawa West,Nairobi County
Kahawa Sukari,Nairobi County
Kahawa Wendani,Nairobi County
South B,Nairobi County
South C,Nairobi County
Mwiki,Nairobi County
Pipeline,Nairobi County
Nyayo Highrise,Nairobi County
Ngara,Nairobi County
Parklands,Nairobi County
Thome,Nairobi County
Ziwani,Nairobi County
Kamukunji,Nairobi County
Makadara,Nairobi County
Dandora,Nairobi County
Mathare,Nairobi County
Huruma,Nairobi County
Kariobangi South,Nairobi County
Kariobangi North,Nairobi County
Muthaiga,Nairobi County
Pangani,Nairobi County
Loresho,Nairobi County
Spring Valley,Nairobi County
Mountain View,Nairobi County
Umoja,Nairobi County
Komarock,Nairobi County
Kayole,Nairobi County
Savannah,Nairobi County
Mwiki,Nairobi County
Ridgeways,Nairobi County
Garden Estate,Nairobi County
Kileleshwa,Nairobi County
Highridge,Nairobi County
